"NOMBRE DE LA SERIE",DF_MESNAA20F1U62240Z01E,DF_MESNAA20I1U62240Z01E,DF_MESNAA20J1U62240Z01E,DF_MESNAA20F1U62251Z01E,DF_MESNAA20I1U62251Z01E,DF_MESNAA20J1U62251Z01E,DF_MESNAA22A1U62250Z01E,DF_MESNAA21A1U62250Z01E,DF_MESNAA23A1U62250Z01E,DF_MESNAA23A1U62253Z01E,DF_MESNAA20A1U62252Z01E
"AGO 2011",148431,215100,489980,30824,33646,788731,656250,72112,124838,54753,6479
"SEP 2011",153092,212166,487704,30404,33588,787975,655726,71814,124427,54495,6557
"OCT 2011",151827,212186,486501,30012,33169,785161,653844,70810,123688,53967,6689
"NOV 2011",153608,208550,487335,35115,32764,784155,652658,70830,128546,54766,6749
"DIC 2011",149000,206513,484891,30628,32005,787416,656531,70488,123030,53163,7000
"ENE 2012",147094,206201,481194,30345,31846,783282,653485,69271,122718,53449,6833
"FEB 2012",143454,207369,479024,29408,31387,780113,650724,67929,122256,53313,6754
"MAR 2012",144687,206449,476320,29404,31131,778297,649716,67421,121695,52858,6642
"ABR 2012",148588,209158,466664,29112,31455,774915,650081,65981,119420,52912,6856
"MAY 2012",149086,207203,461657,29652,31199,772203,647360,65672,120022,51871,7844
"JUN 2012",150022,202807,458324,34775,30413,770622,644201,65856,125754,51808,7013
"JUL 2012",148215,201256,454112,30324,29900,769128,643859,65041,120452,52045,6981
"AGO 2012",144902,196905,450085,29924,29447,766359,641479,64124,120128,51640,7002
"SEP 2012",144849,194288,452171,29374,29097,763800,639522,63289,119460,50519,6910
"OCT 2012",144910,192118,445757,29514,28861,761145,636994,62929,119597,51536,7013
"NOV 2012",143942,187250,444220,35884,28015,759217,635094,63692,124329,50494,6973
"DIC 2012",138539,172247,397159,30621,27489,756179,633136,67259,113894,55513,6976
"ENE 2013",135816,168685,394092,30340,26714,752123,629875,65998,113304,55391,6939
"FEB 2013",136021,162100,375961,29532,26199,748448,626967,64427,112784,54663,6841
"MAR 2013",137026,159740,372798,29368,25749,745891,625439,63412,112157,54001,6759
"ABR 2013",135882,157311,369543,29218,25647,742114,621901,62631,112447,53505,6738
"MAY 2013",125019,162027,364367,29108,25731,739682,619544,62725,112252,53372,6711
"JUN 2013",126291,161996,358303,35019,25957,736095,618665,62836,115571,53610,6754
"JUL 2013",116760,163946,360214,27848,26817,734522,616549,62973,109665,52283,6726
"AGO 2013",113445,162304,357025,27651,26519,731128,614114,62135,109050,51919,6882
"SEP 2013",114174,162215,354349,26962,25870,727158,610497,60851,108643,53283,6882
"OCT 2013",114683,162857,350367,26625,25918,724182,608192,61200,107332,53272,6828
"NOV 2013",114769,159543,349262,32889,25813,722121,608988,61748,110087,52324,6312
"DIC 2013",111991,148263,348644,27556,25792,716433,604395,61867,103520,52434,6299
"ENE 2014",110942,146116,346559,27304,25511,712995,602489,61150,102171,51999,6168
"FEB 2014",108887,145973,341240,26302,25697,709944,600696,60400,100847,52026,6199
"MAR 2014",111844,139913,338414,26437,25928,706503,596424,60195,102249,45603,6220
"ABR 2014",109863,139742,336371,26466,26030,703604,596470,59779,99851,45492,6244
"MAY 2014",107828,139057,334285,25940,26308,701700,594624,59852,99473,45953,6196
"JUN 2014",109583,139102,326344,32809,26497,698566,592276,60693,104903,45852,6375
"JUL 2014",111034,134033,323019,26472,26400,696463,590437,60144,98754,46738,6285
"AGO 2014",108434,133320,320748,26015,26164,693355,588146,59636,97752,45992,6234
"SEP 2014",109654,131386,316616,26451,26615,690420,585832,59728,97925,46440,6971
"OCT 2014",107056,129750,312537,26316,26774,688025,583986,60151,96978,45991,6499
"NOV 2014",105322,133558,312942,32692,26731,685742,582087,61182,101896,46119,6261
"DIC 2014",103542,133237,307903,25576,27388,683518,579794,57861,98827,46586,5962
"ENE 2015",100968,131108,306799,26147,26976,680396,577418,57024,99077,47144,5899
"FEB 2015",102123,130823,306704,25181,27164,677858,575906,56488,97808,46795,6217
"MAR 2015",105466,132436,302268,25542,27565,675269,573966,56366,98043,46783,6199
"ABR 2015",105402,133387,301202,26076,28008,669310,568456,55952,98986,46168,5904
"MAY 2015",101538,132641,298402,25908,28376,666065,565452,57140,97758,45700,5701
"JUN 2015",102570,131615,296107,33226,28616,663364,563996,58936,102274,45352,5745
"JUL 2015",103479,129860,295980,26822,29108,661547,562213,58935,96329,45731,5642
"AGO 2015",100310,127779,294248,26372,29269,658863,559918,58946,95640,45488,5596
"SEP 2015",101661,127868,292724,26384,29648,656529,557659,59166,95735,45381,5706
"OCT 2015",97036,131083,295132,26554,30109,655215,556321,59745,95813,45425,5710
"NOV 2015",101400,128588,292062,33873,30495,653221,555005,61107,101478,45253,5834
